origin,destination,departure_date,airline,price_total,currency,number_of_stops,departure_time,arrival_time,duration,ingested_at
JFK,LAX,2026-06-10,AS,166.86,EUR,1,2026-06-10T07:00:00,2026-06-10T16:59:00,PT12H59M,2026-03-07T20:54:40.263880+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T05:59:00,2026-06-10T08:55:00,PT5H56M,2026-03-07T20:54:40.263919+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T06:59:00,2026-06-10T09:59:00,PT6H,2026-03-07T20:54:40.263929+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T08:00:00,2026-06-10T11:00:00,PT6H,2026-03-07T20:54:40.263936+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T09:00:00,2026-06-10T12:00:00,PT6H,2026-03-07T20:54:40.263942+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T10:40:00,2026-06-10T13:40:00,PT6H,2026-03-07T20:54:40.263947+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T12:10:00,2026-06-10T15:10:00,PT6H,2026-03-07T20:54:40.263952+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T17:00:00,2026-06-10T20:13:00,PT6H13M,2026-03-07T20:54:40.263957+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T21:55:00,2026-06-11T01:09:00,PT6H14M,2026-03-07T20:54:40.263962+00:00
JFK,LAX,2026-06-10,B6,167.01,EUR,0,2026-06-10T15:45:00,2026-06-10T19:05:00,PT6H20M,2026-03-07T20:54:40.263978+00:00
JFK,DFW,2026-06-10,B6,183.51,EUR,1,2026-06-10T09:00:00,2026-06-10T18:07:00,PT10H7M,2026-03-07T20:54:42.629472+00:00
JFK,DFW,2026-06-10,B6,256.61,EUR,1,2026-06-10T06:30:00,2026-06-10T18:07:00,PT12H37M,2026-03-07T20:54:42.629539+00:00
LHR,JFK,2026-06-10,FI,376.08,EUR,1,2026-06-10T13:05:00,2026-06-10T19:10:00,PT11H5M,2026-03-07T20:54:48.051106+00:00
LHR,JFK,2026-06-10,FI,376.08,EUR,1,2026-06-10T13:05:00,2026-06-10T22:35:00,PT14H30M,2026-03-07T20:54:48.051140+00:00
LHR,JFK,2026-06-10,TP,398.02,EUR,1,2026-06-10T11:20:00,2026-06-10T20:05:00,PT13H45M,2026-03-07T20:54:48.051150+00:00
LHR,JFK,2026-06-10,TP,398.02,EUR,1,2026-06-10T08:00:00,2026-06-10T20:05:00,PT17H5M,2026-03-07T20:54:48.051159+00:00
LHR,JFK,2026-06-10,FI,406.47,EUR,1,2026-06-10T21:25:00,2026-06-11T19:10:00,PT26H45M,2026-03-07T20:54:48.051167+00:00
LHR,JFK,2026-06-10,FI,406.47,EUR,1,2026-06-10T21:25:00,2026-06-11T22:35:00,PT30H10M,2026-03-07T20:54:48.051175+00:00
LHR,JFK,2026-06-10,UA,414.17,EUR,1,2026-06-10T06:50:00,2026-06-10T13:00:00,PT11H10M,2026-03-07T20:54:48.051183+00:00
