search_timestamp,search_date,route,origin,destination,departure_date,days_before_departure,offer_count,priced_offer_count,nonstop_offer_count,min_price_usd,avg_price_usd,avg_nonstop_price_usd
2026-03-07 22:02:22,2026-03-07,CHI-JFK,CHI,JFK,2026-03-13,6,14,14,2,102.51,435.89,305.14
2026-03-07 22:02:22,2026-03-07,CHI-JFK,CHI,JFK,2026-05-12,66,6,6,2,76.71,100.17,76.71
2026-03-07 22:02:22,2026-03-07,CHI-JFK,CHI,JFK,2026-06-01,86,6,6,2,114.33,169.68,114.33
2026-03-07 22:02:22,2026-03-07,CHI-JFK,CHI,JFK,2026-06-10,95,6,6,2,114.33,168.07,114.33
2026-03-07 22:02:22,2026-03-07,CHI-ATL,CHI,ATL,2026-03-13,6,34,34,6,155.56,438.49,260.89
2026-03-07 22:02:22,2026-03-07,CHI-ATL,CHI,ATL,2026-05-12,66,22,22,1,98.21,379.88,98.21
2026-03-07 22:02:22,2026-03-07,CHI-ATL,CHI,ATL,2026-06-01,86,23,23,0,220.61,447.57,
2026-03-07 22:02:22,2026-03-07,CHI-ATL,CHI,ATL,2026-06-10,95,27,27,2,126.16,524.2,126.16
2026-03-07 22:02:22,2026-03-07,MIA-JFK,MIA,JFK,2026-03-13,6,1,1,1,107.88,107.88,107.88
2026-03-07 22:02:22,2026-03-07,SEA-LAX,SEA,LAX,2026-03-13,6,79,79,26,155.56,482.64,284.43
2026-03-07 22:02:22,2026-03-07,SEA-LAX,SEA,LAX,2026-05-12,66,81,81,25,76.56,667.89,1283.25
2026-03-07 22:02:22,2026-03-07,SEA-LAX,SEA,LAX,2026-06-01,86,71,71,11,128.31,457.77,1278.66
2026-03-07 22:02:22,2026-03-07,SEA-LAX,SEA,LAX,2026-06-10,95,72,72,9,128.31,348.57,1067.86
2026-03-07 22:02:22,2026-03-07,BOS-JFK,BOS,JFK,2026-03-13,6,31,31,8,126.01,385.04,414.66
2026-03-07 22:02:22,2026-03-07,BOS-JFK,BOS,JFK,2026-05-12,66,34,34,6,63.81,623.36,257.85
2026-03-07 22:02:22,2026-03-07,BOS-JFK,BOS,JFK,2026-06-01,86,46,46,6,106.81,527.02,106.81
2026-03-07 22:02:22,2026-03-07,BOS-JFK,BOS,JFK,2026-06-10,95,48,48,6,106.81,721.26,106.81
2026-03-07 22:02:22,2026-03-07,LAX-JFK,LAX,JFK,2026-03-13,6,60,60,18,260.38,1278.66,2586.18
2026-03-07 22:02:22,2026-03-07,LAX-JFK,LAX,JFK,2026-05-12,66,53,53,14,111.11,425.57,150.42
2026-03-07 22:02:22,2026-03-07,LAX-JFK,LAX,JFK,2026-06-01,86,52,52,14,166.86,499.49,198.03
2026-03-07 22:02:22,2026-03-07,LAX-JFK,LAX,JFK,2026-06-10,95,50,50,14,167.01,512.04,198.03
