
===== RUN START 2026-03-12 22:55:20 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-12 22:55:20 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-12 22:55:20 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-12 22:55:20 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-12 22:55:20 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-12 22:55:20 | CHI-ATL | 2026-03-13 | offers=35
[SUCCESS] 2026-03-12 22:55:20 | CHI-ATL | 2026-05-12 | offers=22
[SUCCESS] 2026-03-12 22:55:20 | CHI-ATL | 2026-06-01 | offers=23
[SUCCESS] 2026-03-12 22:55:20 | CHI-ATL | 2026-06-10 | offers=26
[SUCCESS] 2026-03-12 22:55:20 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-12 22:55:20 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-12 22:55:20 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-12 22:55:20 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-12 22:55:20 | SEA-LAX | 2026-03-13 | offers=83
[SUCCESS] 2026-03-12 22:55:20 | SEA-LAX | 2026-05-12 | offers=77
[SUCCESS] 2026-03-12 22:55:20 | SEA-LAX | 2026-06-01 | offers=69
[SUCCESS] 2026-03-12 22:55:20 | SEA-LAX | 2026-06-10 | offers=74
[SUCCESS] 2026-03-12 22:55:20 | BOS-JFK | 2026-03-13 | offers=32
[SUCCESS] 2026-03-12 22:55:20 | BOS-JFK | 2026-05-12 | offers=41
[SUCCESS] 2026-03-12 22:55:20 | BOS-JFK | 2026-06-01 | offers=51
[SUCCESS] 2026-03-12 22:55:20 | BOS-JFK | 2026-06-10 | offers=44
[SUCCESS] 2026-03-12 22:55:20 | LAX-JFK | 2026-03-13 | offers=60
[SUCCESS] 2026-03-12 22:55:20 | LAX-JFK | 2026-05-12 | offers=57
[SUCCESS] 2026-03-12 22:55:20 | LAX-JFK | 2026-06-01 | offers=56
[SUCCESS] 2026-03-12 22:55:20 | LAX-JFK | 2026-06-10 | offers=56
