route,days_before_event,window_label,airline_code,avg_predicted,avg_actual,n_obs
BOS-JFK,1,Last minute,9K,170.33,156.71,16
BOS-JFK,1,Last minute,B6,230.76,236.6,114
BOS-JFK,1,Last minute,AS,300.38,281.46,26
BOS-JFK,10,10 days out,B6,239.75,240.2,121
BOS-JFK,10,10 days out,9K,292.29,308.91,32
BOS-JFK,10,10 days out,AS,339.89,314.16,20
BOS-JFK,30,1 month out,9K,182.95,153.93,8
BOS-JFK,30,1 month out,B6,199.78,198.46,137
BOS-JFK,30,1 month out,AS,307.87,364.7,16
BOS-JFK,90,3 months out,9K,247.61,226.26,12
BOS-JFK,90,3 months out,B6,387.65,366.8,79
BOS-JFK,90,3 months out,HA,833.44,867.09,6
BOS-JFK,90,3 months out,AS,843.76,913.31,18
CHI-ATL,1,Last minute,B6,290.91,277.8,24
CHI-ATL,1,Last minute,AS,333.3,349.18,27
CHI-ATL,1,Last minute,UA,358.92,358.12,47
CHI-ATL,10,10 days out,B6,297.17,277.8,24
CHI-ATL,10,10 days out,AS,359.38,363.39,32
CHI-ATL,10,10 days out,UA,367.18,375.42,49
CHI-ATL,30,1 month out,B6,214.58,195.23,24
CHI-ATL,30,1 month out,AS,288.88,290.68,19
CHI-ATL,30,1 month out,UA,318.47,317.26,42
CHI-ATL,90,3 months out,F9,435.57,426.39,60
CHI-ATL,90,3 months out,UA,501.14,502.64,16
CHI-ATL,90,3 months out,B6,767.75,852.38,15
CHI-JFK,1,Last minute,B6,184.35,182.77,24
CHI-JFK,10,10 days out,B6,188.49,186.37,24
CHI-JFK,30,1 month out,B6,116.53,117.35,24
CHI-JFK,90,3 months out,F9,408.5,400.67,36
CHI-JFK,90,3 months out,B6,593.38,606.85,24
LAX-JFK,1,Last minute,B6,292.93,296.53,52
LAX-JFK,1,Last minute,AS,302.73,295.33,49
LAX-JFK,1,Last minute,6X,444.63,450.08,16
LAX-JFK,10,10 days out,B6,292.58,305.14,53
LAX-JFK,10,10 days out,AS,308.19,299.5,65
LAX-JFK,10,10 days out,6X,453.11,450.08,16
LAX-JFK,30,1 month out,B6,194.0,182.07,55
LAX-JFK,30,1 month out,AS,220.8,228.77,73
LAX-JFK,30,1 month out,6X,441.22,450.08,16
LAX-JFK,90,3 months out,6X,437.63,441.78,6
LAX-JFK,90,3 months out,F9,544.84,544.84,18
LAX-JFK,90,3 months out,AS,591.24,581.03,53
LAX-JFK,90,3 months out,HA,617.6,613.52,18
LAX-JFK,90,3 months out,B6,659.59,671.55,41
MIA-JFK,90,3 months out,F9,145.97,141.58,6
SEA-LAX,1,Last minute,AS,240.69,240.76,99
SEA-LAX,1,Last minute,UA,442.71,450.11,31
SEA-LAX,10,10 days out,AS,237.0,241.7,102
SEA-LAX,10,10 days out,UA,353.59,343.41,40
SEA-LAX,30,1 month out,AS,149.43,139.95,85
SEA-LAX,30,1 month out,HA,354.94,361.26,20
SEA-LAX,30,1 month out,UA,383.96,400.65,18
SEA-LAX,90,3 months out,HA,357.02,339.05,18
SEA-LAX,90,3 months out,AS,403.97,397.55,47
SEA-LAX,90,3 months out,UA,439.55,432.1,10
SEA-LAX,90,3 months out,F9,440.63,451.66,36
